old_name;new_category;old_name_slug;new_category_slug;status;redirect_type
3WDOC - Tutorials;3WDOC - Tutorials;/category/3wdoc-tutorials/;/category/3wdoc-tutorials/;migrate;301
aaa-new-cat-order;aaa-new-cat-order;/category/aaa-new-cat-order/;/category/aaa-new-cat-order/;drop;403
"AI &amp; Machine Learning";"AI &amp; Machine Learning";/category/ai-machine-learning/;/category/ai-machine-learning/;migrate;301
"APIs &amp; Integration";"APIs &amp; Integration";/category/apis-integration/;/category/apis-integration/;migrate;301
applications;Web Development;/category/applications-et-web-applications/;/category/web-development/;migrate;301
Big data;Data & Analytics;/category/big-data/;/category/data-analytics/;migrate;301
Bigdata;Data & Analytics;/category/bigdata/;/category/data-analytics/;merge;301
"Business &amp; Case Studies";"Business &amp; Case Studies";/category/business-case-studies/;/category/business-case-studies/;migrate;301
"Cloud &amp; Infrastructure";"Cloud &amp; Infrastructure";/category/cloud-infrastructure/;/category/cloud-infrastructure/;migrate;301
Création de site web;Web Development;/category/creation-de-site-web/;/category/web-development/;migrate;301
"Data &amp; Analytics";"Data &amp; Analytics";/category/data-analytics/;/category/data-analytics/;migrate;301
demos;Tutorials & How-to;/category/demos/;/category/tutorials-how-to/;migrate;301
Développement;Web Development;/category/developpement-digital/;/category/web-development/;migrate;301
"Digital Storytelling &amp; Webdocs";"Digital Storytelling &amp; Webdocs";/category/digital-storytelling-webdocs/;/category/digital-storytelling-webdocs/;migrate;301
Divers;Miscellaneous / Other;/category/divers/;/category/miscellaneous-other/;migrate;301
Drupal;WordPress & CMS;/category/drupal/;/category/wordpress-cms/;migrate;301
écriture;Journalism & Writing;/category/ecriture/;/category/journalism-writing/;migrate;301
Flash, Actionscript, Flex;Web Development;/category/flash-actionscript-flex/;/category/web-development/;migrate;301
Flex;Web Development;/category/flex/;/category/web-development/;merge;301
Framework;Web Development;/category/framework/;/category/web-development/;migrate;301
Gestion d'un projet;3WDOC - Tutorials;/category/2-saas-gestion-dun-projet/;/category/3wdoc-tutorials/;migrate;301
Gestion d'une séquence;3WDOC - Tutorials;/category/3-saas-gestion-dune-sequence/;/category/3wdoc-tutorials/;migrate;301
Gestion de l'audio;3WDOC - Tutorials;/category/6-gestion-de-laudio/;/category/3wdoc-tutorials/;migrate;301
Gestion des boutons et des actions;3WDOC - Tutorials;/category/8-gestion-des-boutons-et-des-actions/;/category/3wdoc-tutorials/;migrate;301
Gestion des effets;3WDOC - Tutorials;/category/8-saas-gestion-des-effets/;/category/3wdoc-tutorials/;migrate;301
Gestion des événements;3WDOC - Tutorials;/category/9-saas-gestion-des-evenements/;/category/3wdoc-tutorials/;migrate;301
Gestion des images;3WDOC - Tutorials;/category/4-saas-gestion-des-images/;/category/3wdoc-tutorials/;migrate;301
Gestion des médias de plateformes tierces;3WDOC - Tutorials;/category/91-saas-gestion-des-medias-13/;/category/3wdoc-tutorials/;migrate;301
Gestion des sons;3WDOC - Tutorials;/category/6-saas-gestion-des-sons/;/category/3wdoc-tutorials/;migrate;301
Gestion des textes;3WDOC - Tutorials;/category/5-gestion-des-textes/;/category/3wdoc-tutorials/;migrate;301
Gestion des vidéos;3WDOC - Tutorials;/category/5-saas-gestion-des-videos/;/category/3wdoc-tutorials/;migrate;301
Gestion du Style;3WDOC - Tutorials;/category/92-saas-gestion-du-style/;/category/3wdoc-tutorials/;migrate;301
HbbTV;Multimedia & Video;/category/hbbtv-connected-tv/;/category/multimedia-video/;migrate;301
Hébergement;Cloud & Infrastructure;/category/hebergement/;/category/cloud-infrastructure/;migrate;301
HTML5;Web Design & Front-end;/category/html5/;/category/web-design-front-end/;migrate;301
Image, Graphisme, Photoshop;Web Design & Front-end;/category/image-graphisme-photoshop/;/category/web-design-front-end/;migrate;301
information;Journalism & Writing;/category/information/;/category/journalism-writing/;migrate;301
interactif;Digital Storytelling & Webdocs;/category/interactif/;/category/digital-storytelling-webdocs/;migrate;301
iOS;Mobile & Devices;/category/ios/;/category/mobile-devices/;migrate;301
Iphone, mobile;Mobile & Devices;/category/iphone-mobile/;/category/mobile-devices/;migrate;301
Javascript, Ajax;Web Development;/category/javascript-ajax/;/category/web-development/;migrate;301
Joomla, Virtuemart;WordPress & CMS;/category/joomla-virtuemart/;/category/wordpress-cms/;migrate;301
"Journalism &amp; Writing";"Journalism &amp; Writing";/category/journalism-writing/;/category/journalism-writing/;migrate;301
journalisme;Journalism & Writing;/category/journalisme/;/category/journalism-writing/;migrate;301
jQuery;Web Development;/category/jquery/;/category/web-development/;migrate;301
JSON;APIs & Integration;/category/json-2/;/category/apis-integration/;migrate;301
L'encodage des médias;3WDOC - Tutorials;/category/2-lencodage-des-medias/;/category/3wdoc-tutorials/;merge;301
Linux, Apache;Cloud & Infrastructure;/category/linux-apache/;/category/cloud-infrastructure/;migrate;301
Mac;Tools & Productivity;/category/mac/;/category/tools-productivity/;migrate;301
Marketing Web;SEO & Web Marketing;/category/marketing-web/;/category/seo-web-marketing/;migrate;301
Miscellaneous / Other;Miscellaneous / Other;/category/miscellaneous-other/;/category/miscellaneous-other/;migrate;301
"Mobile &amp; Devices";"Mobile &amp; Devices";/category/mobile-devices/;/category/mobile-devices/;migrate;301
Mon compte;3WDOC - Tutorials;/category/1-saas-mon-compte/;/category/3wdoc-tutorials/;migrate;301
Mon Compte sur 3WDOC;3WDOC - Tutorials;/category/1-mon-compte-sur-3wdoc/;/category/3wdoc-tutorials/;migrate;301
"Multimedia &amp; Video";"Multimedia &amp; Video";/category/multimedia-video/;/category/multimedia-video/;migrate;301
narration;Digital Storytelling & Webdocs;/category/narration/;/category/digital-storytelling-webdocs/;migrate;301
new-cat-1-change;;/category/new-cat-1-change/;;drop;403
new-cat-2;;/category/new-cat-2/;;drop;403
NLP;AI & Machine Learning;/category/nlp/;/category/ai-machine-learning/;migrate;301
Non classé;Miscellaneous / Other;/category/non-classe/;/category/miscellaneous-other/;migrate;301
Nos derniers WDOC;3WDOC - Tutorials;/category/nos-derniers-wdoc/;/category/3wdoc-tutorials/;merge;301
Notions de Base;3WDOC - Tutorials;/category/0-saas-notions-de-base/;/category/3wdoc-tutorials/;merge;301
photo;Web Design & Front-end;/category/photo/;/category/web-design-front-end/;migrate;301
PHP, MYSQL;Programming & Databases;/category/php-mysql/;/category/programming-databases/;migrate;301
presse;Journalism & Writing;/category/presse-et-revue-de-presse/;/category/journalism-writing/;migrate;301
"Programming &amp; Databases";"Programming &amp; Databases";/category/programming-databases/;/category/programming-databases/;migrate;301
Publication;Tutorials & How-to;/category/93-publication/;/category/tutorials-how-to/;merge;301
Python;Programming & Databases;/category/python/;/category/programming-databases/;migrate;301
Référencement, SEO;SEO & Web Marketing;/category/referencement-seo/;/category/seo-web-marketing/;migrate;301
Ruby on Rails;Web Development;/category/ruby-on-rails/;/category/web-development/;migrate;301
SaaS;Cloud & Infrastructure;/category/saas/;/category/cloud-infrastructure/;migrate;301
