run_id,source,item_index,title,summary,keywords,supertag,status
dc6ed1550c144a6e95ec7ae116f7de6f,011_ner_RFI_FR_journal_des_sports_afrique_MZ534734,1,Fayski Piegon court vers la barrière des 4 minutes du mile,"Le jeudi prochain, le triple championne olympique en titre Fayski Piegon tentera de descendre sa propre marque de près de huit secondes pour passer la mythique barrière des 4 minutes sur le mile. Le projet est un vrai coup marketing pour la marque à la virgule qui mettra en avant ses produits. Il y aura une rencontre face aux émiratis d'Alaïne et l'événement sera ouvert au public avec un programme prévu.

On peut se demander si Fayski Piegon réussira à établir son nouveau record, ou s'il pourra être victime des pressions de cette compétition. En plus de cela, le succès de l'athlète poursuit-il sa collaboration avec Solène Ravenel ?","Fayski Piegon, records, mile, barrière 4 minutes, Solène Ravenel",Athlétisme,completed
7ee32dce000c4374b67f9ec2a446cfc9,018_ner_MZ441106_F24_EN_Eye_on_Africa,2,"Nigeria faces deadliest floods in years, leaving over 200 dead and hundreds missing","The death toll from devastating flash floods in Niger State has risen to 200 people as rescuers search for survivors. Many more are feared dead with hundreds still missing. The flooding is being exacerbated by climate change, lack of proper drainage, and unregulated construction. Authorities have halted search and rescue operations after the loss of many lives.","Nigeria, flood, death toll, missing people, climate change",Africa,completed
0424005b8e6b4f88ad069017b929890c,017_ner_MZ447971_F24_EN_Down_Earth,3,Massive Textile Waste Ends Up In Chile's Atacama Desert,"The fast fashion industry's unsold garments are being dumped in South America's largest duty-free port in Chile, according to a journalist. The clothes, mostly from Europe and the US, are shipped through Iquique before ending up in Alto Hospicio's open-air dumps. The majority of these clothes will be sold at the Quebradilla market, where low prices attract locals. However, some unsold items end up in the desert due to ongoing practices. The smoke from burning piles reaches homes, causing health problems for residents like 65-year-old Anira Aila whose bedroom has become her refuge. Chilean authorities and NGOs are working on a long-term clean-up campaign, while implementing global regulations is also needed.","fast fashion, textile waste, Chile, Atacama Desert, open-air dump",Environment,completed
e8679cce4e46419987d450a2f38018af,014_ner_MZ450564_F24_EN_The_Debate,4,Europe's Scorching Summer: Struggling to Adapt as Heatwaves and Energy Crisis Collide,"As temperatures soar in Europe this summer for the second time, countries are struggling to adapt as heatwaves collide with energy crises. The situation is particularly dire in France, which has seen record-breaking temperatures of up to 45°C in some regions. As electricity consumption skyrockets due to air conditioning use and concerns about nuclear power plants shutting down due to overheating rivers, debate rages on whether the far-right's proposal for universal air conditioning is a viable solution or even necessary.","Europe, Heatwave, Energy Crisis, Air Conditioning, Nuclear Power, France",Environment,completed
4f965d65cff04f3eb572ab35bef00eb5,015_ner_MZ449146_F24_EN_The_Debate,5,The Grand Wedding Spectacle: Jeff Bezos' Venice Marriage and the Divisions of Our Time,"Jeff Bezos, billionaire owner of Amazon and now owner of The Washington Post, married TV personality Lawrence Sanchez in a grand wedding spectacle that saw both paparazzi and protesters. The event, held in Venice, Italy, raised questions about wealth and its implications for the age we live in. Organizers pledged to give to good causes, but critics argue that such extravagance only highlights social and economic divides.","Jeff Bezos, Amazon, Washington Post, Venice, Billionaire, Protesters, Grand Wedding Spectacle",Business / Tech,completed
7b0f24c6af8743cab3f18af75a241f78,005_ner_V13_F24_FR_En_tete_tete_MZ505571,6,"Yashin : « Dehors de prison, j'étais toujours en danger », un opposant russe sous les feux des cibles de Poutine","Le chef d'opposition municipal à Moscou Ilya Yashin est libéré en août 2024 et vivre désormais à Berlin. Il a été condamné à huit ans et demi de prison pour avoir critiqué l'invasion russe de l'Ukraine. Après sa libération, il parle du risque qu'il court sur son vie et sur la vie des autres opposants russes, ainsi que sur la position du président Vladimir Poutine dans les relations avec les pays occidentaux.","Ilya Yashin, Poutine, Russie, Ukraine, prisonniers",Europe,completed
337c1d429b3b4f17bd16903099bb312f,001_F24_FR_Focus_MZ508039,7,"La jade birmane, la pierre précieuse entraînant des conflits et souffrance","Le marché du jatte de Ruilly attire les clients chinois en quête d'une perle rare. La Birmanie produit le plus précieux du monde, mais la production est liée à un conflit armé entre miliciens et l'armée birmane. Les pierres sont souvent importées illégalement et vendues sans contrôle ni garantie. La transformation des pierres en bijoux est effectuée par des entreprises chinoises, dont celle de Huang Bikai qui a des machines fonctionnelles 24/7. Le jade africain est aussi importé pour satisfaire la demande en Chine. Les nouveaux acteurs entrent désormais dans l'industrie du jade, mais la théorie de Richard Orsay, spécialiste de la Birmanie, affirme que rien ne changera 'de l’autre côté de la frontière'.","Jade birmane, Industrie du jade, Conflit armé, Contrebande, Importation illégale",Environnement,completed
86d9bd811c444e84a8043f7be6d25f8d,002_ner_F24_FR_Focus_MZ507012,8,Les algues de l'Inde maritime : unesource de revenus stable pour les femmes et une protection des écosystèmes,"Dans l'état du Tamil Nadu, Madhvi cultive des algues depuis plus de 9 ans en raison de la rareté des poissons et de la flambée de coût de la pêche. Cette culture s'est révélée rentable pour les femmes locales, qui vendent environ 300 kg d'algues chaque mois pour plus de 180 euros. Cependant, cette industrie croissante doit être réglementée pour protéger les écosystèmes marins. Le cuir végétal à base d'algues est également un nouveau produit de pointe, fabriqué par des entreprises telles que Aqua Agri.","Algues, Inde, Culture, Revenus, Femmes",Environnement,completed
26ebf7c8ee044602a8dc4464afc3aae0,013_ner_MZ450258_F24_EN_EYE_ON_AFRICA,9,Congo-Rwanda Peace Deal: Mixed Reactions and a Path to Stability?,"The DR Congo's President Felix Tshisekedi hailed the recent peace agreement he struck with Rwanda, saying it would lead to peace in eastern Congo. The deal aims to end the three-year conflict with the M23 rebel group, which Rwanda has backed with thousands of its own troops. The agreement, signed on June 27th, is a promising step towards stability, but skepticism remains as the M23 has never officially recognized previous agreements between Congo and Rwanda.","DR Congo, Rwanda, M23 Rebel Group, Peace Agreement, Felix Tshisekedi",Africa,completed
fd94216f6be1482fa382a7314f4b6b06,007_ner_RFI_FR_le_grand_invite_afrique_MZ535057,10,Rwanda et RDC signent un accord sur les rebelles FTLR : la paix est-elle possible?,"Le gouvernement rwandais a accepté de se retirer de zones contrôlées par les FDLR, groupe rebelle rwandais impliqué dans des conflits en République démocratique du Congo (RDC) depuis des décennies. L'accord prévoit également la réintégration des combattants de l'M23 dans l'armée congolaise ou leur passage au statut de parti politique. Le calendrier pour la mise en œuvre de cet accord est ambitieux et la participation des États-Unis est attendue, qui pourraient suivre le processus à l'aide de satellites d'observation. Cependant, les rebelles du M23 ne sont pas conviés à la signature de l'accord. La question pourrait se poser : peut-on espérer une paix durable entre Rwanda et RDC?","Rwanda, RDC, FDLR, M23, Accords, Paix",Afrique,completed
